about|туралы|preposition|осы туралы if in help - about
encryption|шифрлеу|noun|
endnote|соңдық нұсқама|noun|
endpoint|соңғы нүкте|noun|network endpoint
end|соңы|noun|end point or range end
enroll|тіркеу|verb|enroll fingerprint or device
enterprise|корпоративтік|adjective|enterprise authentication
enter|енгізу|verb|
entry|жазба|noun|text entry in location toolbar
equal|тең|adjective|equal comparison or count
error|қате|noun|
everywhere|барлық жерде|adverb|search everywhere scope
examples|мысалдар|noun|examples label in help text
executable|орындалатын|adjective|executable file
existing|бар|adjective|existing file or folder
exponential|экспоненциалды|adjective|exponential function or model
exponent|экспонента|noun|mathematical exponent
export|экспорттау|verb|
expression|өрнек|noun|
extension|кеңейту|noun|
extent|қамту аймағы|noun|
extracted|тарқатылған|adjective|archive extracted
extracting|тарқытылуда|adjective|progress status while extracting
extraction|шығарып алу|noun|feature or data extraction
extract|тарқату|verb|extract archive contents
extra|қосымша|adjective|extra abilities or battery type
face|бет|noun|mesh face
factor|коэффициент|noun|
failed|сәтсіз аяқталды|adjective|
fast|жылдам|adjective|
feature|мүмкіндік|noun|
feet|фут|noun|imperial distance unit
field|өріс|noun|
filename|файл атауы|noun|
filesystem|файлдық жүйе|noun|file system
file|файл|noun|
filled|толтырылған|adjective|filled elevation or filled option
fill|толтыру|verb|fill cells, values, or parameters
filtered|сүзгіден өткізілген|adjective|filtered values or layer
filtering|сүзгілеу|noun|filtering operation
filter|сүзгі|noun|
filter|сүзгілеу|verb|
find|табу|verb|find files and folders
fingerprint|саусақ ізі|noun|fingerprint authentication
firmware|микробағдарлама|noun|device firmware
fixed|бекітілген|adjective|fixed size or fixed table
flat|жазық|adjective|flat terrain or flatness
flipped|аударылған|adjective|flipped orientation
float|қалқымалы үтірлі сан|noun|float type or float raster values
folder|бума|noun|
font|қаріп|noun|
footer|төменгі колонтитул|noun|
footnote|нұсқама|noun|
force|мәжбүрлеу|verb|
forget|ұмыту|verb|forget network
format|пішім|noun|
formula|формула|noun|calculation formula
form|форма|noun|
forward|алға|adverb|
found|табылған|adjective|found or not found state
frame|кадр|noun|
free|бос|adjective|available free space
frequency|жиілік|noun|
fullscreen|толық экран|adjective|
full|толық|adjective|full text search
function|функция|noun|
fuzzy|дәлсіз|adjective|
gain|күшейту|noun|
gdal|GDAL|noun|GDAL library or driver
general|жалпы|adjective|
generate|генерациялау|verb|generate output
generic|жалпы|adjective|generic implementation or option
geodetic|геодезиялық|adjective|geodetic coordinates or system
geometry|геометрия|noun|
global|глобалды|adjective|
go|өту|verb|go to location or go back
graphics|графика|noun|graphics hardware or profile
grass|GRASS|noun|GRASS GIS name
grid|тор|noun|
group|топ|noun|
hardware|аппараттық құрал|noun|device hardware
header|жоғарғы колонтитул|noun|
header|тақырыптама|noun|network requests
hearing|есту|noun|hearing accessibility
hectares|гектар|noun|area unit
height|биіктігі|noun|
help|көмек|noun|
hibernate|гибернациялау|verb|hibernate power state
hidden|жасырын|adjective|hidden files
highlight|түспен ерекшелеу|verb|
high|жоғары|adjective|
histogram|гистограмма|noun|histogram equalization or temperature histogram
history|тарих|noun|
home|үй бумасы|noun|home directory or Home location
horizontal|горизонталды|adjective|
hostname|хост атауы|noun|network hostname
host|хост|noun|
hotkey|жедел перне|noun|
hotspot|кіру нүктесі|noun|Wi-Fi hotspot
hour|сағат|noun|time unit
however|алайда|conjunction|
icon|таңбаша|noun|
identification|идентификация|noun|dataset or feature identification
idle|іссіз|adjective|user idle status or idle time
id|идентификатор|noun|feature or field id
image|бейне|noun|disk image
image|сурет|noun|
import|импорттау|verb|import file or settings
inches|дюйм|noun|imperial length unit
increase|арттыру|verb|
indexed|индекстелген|adjective|
index|индекс|noun|database
index|нұсқағыш|noun|
information|ақпарат|noun|file or image information
info|ақпарат|noun|info dialog or menu item
initial|бастапқы|adjective|initial window size
input|кіріс|noun|
insert|кірістіру|verb|
install|орнату|verb|
integer|бүтін сан|noun|integer value or integer raster
intensity|қарқындылық|noun|color or signal intensity
interface|интерфейс|noun|
internal|ішкі|adjective|internal protocol or internal error
internet|интернет|noun|internet connection
intersect|қиылысу|verb|intersect geometry or raster
interval|аралық|noun|sampling or class interval
invalid|жарамсыз|adjective|invalid address
item|элемент|noun|menu item or file item
iteration|итерация|noun|processing iteration
job|тапсырма|noun|print job
joined|қосылды|verb|participant or channel joined
join|қосылу|verb|join domain or network
kernel|ядро|noun|resampling or density kernel
keyboard|пернетақта|noun|
keyring|кілттер бауы|noun|
keyword|кілтсөз|noun|SQL or code keyword
key|кілт|noun|object or lock
key|перне|noun|keyboard
kilometers|километр|noun|metric distance unit
labeling|таңбалау|noun|layer labeling options
label|жапсырма|noun|
landscape|жатық|adjective|display orientation
language|тіл|noun|
large|үлкен|adjective|file too large
latitude|ендік|noun|geographic latitude
launch|іске қосу|verb|launch file on click
layer|қабат|noun|
layout|жайма|noun|
legend|аңыз|noun|
length|ұзындық|noun|field length or path length
level|деңгей|noun|debug or filter level
library|кітапхана|noun|
limit|шек|noun|upper or lower limit
linestring|сызық|noun|LineString geometry type
line|сызық|noun|
link|сілтеме|noun|symbolic link or context-menu link
list|тізім|noun|
loading|жүктелуде|adjective|loading status
load|жүктеу|verb|load image or information
local|жергілікті|adjective|
location|орналасу|noun|folder or network location
locked|құлыпталған|adjective|locked settings or state
lock|құлыптау|verb|
login|кіру|noun|automatic login or next login
logo|логотип|noun|
loop|цикл|noun|
lower|төменгі|adjective|lower bound or lower-left value
low|төмен|adjective|low quality or low level
magnifier|үлкейткіш|noun|screen magnifier
mail|пошта|noun|mail app or account
manager|басқарушы|noun|account or plugin manager
manual|нұсқаулық|noun|manual of application
manufacturer|өндіруші|noun|hardware manufacturer
mapping|сәйкестендіру|noun|
map|карта|noun|raster or vector map
margin|шет өрісі|noun|layout or cell margin
marker|маркер|noun|marker symbol
mask|маска|noun|
matching|сәйкестендіру|noun|matching items or text matching
match|сәйкестік|noun|full text match
matrix|матрица|noun|
maximum|максимум|adjective|maximum allowed count
max|макс.|abbreviation|maximum value shorthand
mean|орташа мән|noun|
measurement|өлшем|noun|distance or coordinate measurement
media|медиа|noun|
medium|орташа|adjective|
memory|жады|noun|system memory
menu|мәзір|noun|
merge|біріктіру|verb|merge folders
mesh|жүйесіз тор|noun|
message|хабарлама|noun|
messaging|хабар алмасу|noun|instant messaging
metadata|метадеректер|noun|
method|әдіс|noun|calculation or interpolation method
metric|метрикалық|adjective|measurement format
microphone|микрофон|noun|audio input device
mile|миля|noun|imperial distance unit
millimeter|миллиметр|noun|metric length unit
minimum|минимум|adjective|minimum allowed count
minute|минут|noun|time unit
min|мин.|abbreviation|minimum value shorthand
miscellaneous|әртүрлі|adjective|miscellaneous options
missing|жоқ|adjective|missing value or file
mm|мм|abbreviation|millimeter unit
mobile|мобильді|adjective|mobile broadband or telephony
model|модель|noun|camera model metadata
modem|модем|noun|network modem
modern|заманауи|adjective|
mode|режим|noun|
modified|өзгертілген|adjective|last modified date
modifier|модификатор|noun|
module|модуль|noun|GRASS or Python module
monitor|монитор|noun|display monitor
monospace|ені біркелкі|adjective|
mosaic|мозаика|noun|
motion|қозғалыс|noun|
mount|тіркеу|verb|mount device or location
mouse|тышқан|noun|
moved|жылжытылған|adjective|moved to Trash
move|жылжыту|verb|
moving|жылжытылуда|adjective|progress status while moving
multi-disk|көпдискілі|adjective|multi-disk drive
multidirectional|көпбағытты|adjective|multidirectional analysis
multiple|бірнеше|adjective|multiple selection
multitasking|көптапсырмалылық|noun|multitasking settings
music|музыка|noun|music content type
mute|дыбысты сөндіру|verb|
muxer|мультиплексор|noun|
name|ат|noun|
navigation|шарлау|noun|window or list navigation
nearest|ең жақын|adjective|nearest neighbour or nearest cell
netmask|желі маскасы|noun|network netmask
network|желі|noun|
never|ешқашан|adverb|setting value
nodata|NoData|noun|raster no-data value
node|түйін|noun|
noise|шу|noun|
normal|қалыпты|adjective|
notification|хабарландыру|noun|system notification
null|null|keyword|database null or raster null value
number|сан|noun|
object|объект|noun|
observation|бақылау|noun|observation value or point
offline|офлайн|adjective|offline state
offset|ығысу|noun|
on-screen|экрандық|adjective|on-screen keyboard
opacity|мөлдір еместік|noun|
opening|ашылу|noun|opening a location, window, or tab
open|ашу|verb|
operation|операция|noun|file operation
operator|оператор|noun|chat room role
option|опция|noun|
order|реті|noun|sort order
orientation|бағдар|noun|screen orientation
original|бастапқы|adjective|original name or location
origin|бастау нүктесі|noun|coordinate origin or source point
output|шығыс|noun|
out|шығыс|noun|output or module suffix
overamplification|шамадан тыс күшейту|noun|accessibility audio boost
overlap|қабаттасу|noun|tile or extent overlap
overlay|қабаттастыру|noun|
overview|шолу|noun|pyramid overview or general overview
overwrite|үстінен жазу|verb|overwrite existing file
owner|иесі|noun|file owner
package|десте|noun|
packetizer|пакеттеуші|noun|
page|бет|noun|test page or settings page
panel|панель|noun|settings panel
paper|қағаз|noun|paper type or print paper
paragraph|абзац|noun|
parallel|параллель|adjective|parallel lines or processing
parameter|параметр|noun|
parent|ата-ана|noun|
parse|талдау|verb|
part|бөлік|noun|real, imaginary, or vector component
passphrase|кілттік фраза|noun|
password-protected|парольмен қорғалған|adjective|password-protected archive
password|пароль|noun|
paste|кірістіру|verb|
path|жол|noun|
pause|аялдату|verb|
peer|пир|noun|VPN peer
pending|күтуде|adjective|pending state
percentage|пайыз|noun|percentage value
performance|өнімділік|noun|performance mode
permanently|толығымен|adverb|delete permanently
permission|рұқсат|noun|file access permission
photo|фото|noun|photo content type
picture|сурет|noun|
pitch|дыбыс биіктігі|noun|audio
pixel|пиксель|noun|raster pixel or pixel size
placement|орналастыру|noun|label or object placement
plane|жазықтық|noun|plane surface or raster plane
playback|ойнату|noun|
player|плеер|noun|
playlist|ойнату тізімі|noun|
play|ойнату|verb|
plug-in|плагин|noun|
plugin|плагин|noun|
podcast|подкаст|noun|
pointer|курсор|noun|
point|нүкте|noun|
polygon|полигон|noun|
polyline|полисызық|noun|polyline geometry
portrait|тік|adjective|display orientation
port|порт|noun|
position|орын|noun|
power|қуат|noun|power settings
preferences|баптаулар|noun|
prefix|префикс|noun|protocol prefix
preparing|дайындалуда|adjective|progress message before operation
presentation|презентация|noun|presentation document type
preserve|сақтап қалу|verb|preserve battery health
preset|пресет|noun|
preview|алдын ала қарау|noun|preview panel or action
printer|принтер|noun|printer device
print|басып шығару|verb|print documents or screen
privacy|жекелік|noun|
processing|өңделуде|adjective|processing state
processor|процессор|noun|device processor
process|өңдеу|verb|
profile|профиль|noun|
program|бағдарлама|noun|
projection|проекция|noun|layer or output projection
projector|проектор|noun|display projector
project|жоба|noun|
properties|қасиеттер|noun|file or media properties dialog
protected|қорғалған|adjective|protected state
protocol|хаттама|noun|
provider|провайдер|noun|service or network provider
proxy|прокси|noun|network proxy
quality|сапа|noun|
quantile|квантиль|noun|quantile interval or value
query|сұраным|noun|server or history query
quit|шығу|verb|quit application
radians|радиан|noun|angular units in radians
radius|радиус|noun|search or visibility radius
random|кездейсоқ|adjective|
range|ауқым|noun|
rasterized|растрланған|adjective|rasterized output
raster|растр|noun|
rate|жиілік|noun|frame rate or bit rate
rating|рейтинг|noun|ISO speed rating or media rating
ratio|арақатынас|noun|
read-only|тек оқуға арналған|adjective|open or destination is read-only
reader|оқығыш|noun|screen or e-book reader
read|оқу|verb|read permission or action
recent|жуырдағы|adjective|recent files or Recent location
record|жазба|noun|
record|жазу|verb|
redo|қайталау|verb|
reduced|азайтылған|adjective|reduced functionality or power
red|қызыл|adjective|red channel or color
refresh|жаңарту|verb|refresh layer or view
region|аймақ|noun|current GRASS region or processing extent
registered|тіркелген|adjective|registered shortcut or action
regular expression|тұрақты өрнек|noun|
relation|байланыс|noun|layer or table relation
relative|салыстырмалы|adjective|relative value or humidity
relevance|релеванттылық|noun|search relevance
remote|қашықтағы|adjective|remote server or location
remove|өшіру|verb|
renamed|атауы өзгертілген|adjective|renamed item
rename|атын өзгерту|verb|
renaming|атауы өзгертілуде|adjective|progress status while renaming
renderer|рендерер|noun|
rendering|рендеринг|noun|map or 3D rendering
repeat|қайталау|verb|
replace|алмастыру|verb|
report|есеп|noun|report output or reporting algorithm
representation|көрсетілім|noun|geometry or data representation
reprojected|қайта проекцияланған|adjective|reprojected layer
requested|сұралған|adjective|requested file or location
request|сұрау|noun|authorization or server request
require|талап ету|verb|require parameter or library
resampling|қайта үлгілеу|noun|raster resampling
rescaled|қайта масштабталған|adjective|rescaled values
reset|бастапқы күйге келтіру|verb|
resize|өлшемін өзгерту|verb|
resolution|ажыратымдылық|noun|
restart|қайта іске қосу|verb|restart device or filter
restored|қалпына келтірілген|adjective|restored item
restore|қалпына келтіру|verb|restore from Trash
result|нәтиже|noun|
resume|жалғастыру|verb|resume operation
ring|сақина|noun|ring or circular buffer element
roaming|роуминг|noun|data roaming
root|түбір|noun|
root|әкімші|noun|user
rotation|айналдыру|noun|rotation angle or axis rotation
route|маршрут|noun|network route
row|жол|noun|table row or raster row
rule|ереже|noun|recode or color rule
run|орындау|verb|run software or script
sampled|іріктелген|adjective|sampled values or points
satellite|жер серігі|noun|satellite imagery or sensor
saturation|қанықтық|noun|color saturation
save as|қалайша сақтау|verb phrase|
saved|сақталған|adjective|saved plugin or stored state
save|сақтау|verb|
scalar|скаляр|noun|scalar value or variable
scale|масштабтау|verb|
schedule|кесте|noun|manual or automatic schedule
schema|схема|noun|database or XML schema
screenshot|скриншот|noun|
screen|экран|noun|
scripts|скрипттер|noun|scripts menu or file-manager scripts
scrolling|айналдыру|noun|scrolling behavior
scroll|айналдыру|verb|scroll direction or action
searching|ізделуде|adjective|search in progress
search|іздеу|verb|
section|бөлім|noun|report or type section
security|қауіпсіздік|noun|security settings
seed|тұқым|noun|random seed or seed point
segment|сегмент|noun|line or raster segment
selection|таңдау|noun|file selection
select|таңдау|verb|
sending|жіберілуде|adjective|sending status
send|жіберу|verb|send results or packets
sensor|сенсор|noun|satellite or spacecraft sensor
separate|бөлек|adjective|
separator|ажыратқыш|noun|
sequence|тізбек|noun|compose-key sequence
server|сервер|noun|remote server
service|қызмет|noun|
session|сеанс|noun|
setting|баптау|noun|preference setting
setup|орнату|noun|page setup or system setup
shading|көлеңкелеу|noun|
shadow|көлеңке|noun|shadow or cloud shadow
shape|пішін|noun|shape index or geometry shape
shared|ортақ|adjective|shared folder or settings
sharing|ортақ пайдалану|noun|sharing settings
shell|қоршам|noun|
shortcut|жарлық|noun|
shown|көрсетілетін|adjective|items or actions shown in UI
show|көрсету|verb|
sidebar|бүйірлік панель|noun|side pane
simple|қарапайым|adjective|simple date format or simple UI
single|бір|adjective|single band or part
size|өлшем|noun|file size or image size
skip|аттап кету|verb|
slide show|слайдшоу|noun|
slope|еңіс|noun|terrain slope or inclination
slow|баяу|adjective|slow key or slow speed
smoothing|тегістеу|noun|surface or geometry smoothing
smooth|тегіс|adjective|smooth geometry or surface
snapping|жабыстыру|noun|snapping options or threshold
snapshot|снапшот|noun|
software|бағдарламалық қамтама|noun|
sort|сұрыптау|verb|
sound|дыбыс|noun|sound settings or alert sounds
source|дереккөз|noun|input source or data source
south|оңтүстік|noun|south direction
space|орын|noun|free disk space
spatialite|SpatiaLite|noun|database format name
special|арнайы|adjective|special characters or entry
specified|көрсетілген|adjective|specified URI or owner
speed|жылдамдық|noun|
split|бөліп жіберу|verb|split layer or geometry
spreadsheet|электрондық кесте|noun|spreadsheet file type
spread|таралу|noun|spread or diffusion
stable|тұрақты|adjective|stable identifier or state
standard|стандартты|adjective|
starred|таңдаулы|adjective|starred or favorite file status
start|бастау|verb|
star|таңдаулыға қосу|verb|mark file as favorite
statistic|статистика|noun|summary statistic or statistical measure
stats|статистика|noun|
status|қалып-күй|noun|device or service status
stereo|стерео|adjective|
stopped|тоқтатылған|adjective|stopped state
stopwatch|секунд өлшегіші|noun|
stop|тоқтату|verb|
storage|сақтау қоймасы|noun|storage devices or settings
store|сақтау|verb|store password or data
stream|ағын|noun|
stretch|созу|verb|
string|жол|noun|data type
stroke|контур|noun|stroke color or width
structure|құрылым|noun|data or terrain structure
style|стиль|noun|
subfolder|ішкі бума|noun|search subfolders
subpicture|ішкі сурет|noun|
subtitle|субтитр|noun|
subwoofer|сабвуфер|noun|audio output channel
success|сәтті|noun|successful completion
supported|қолдау көрсетілетін|adjective|supported file type or feature
support|қолдау|noun|feature or protocol support
surface|бет|noun|surface model or surface analysis
surround|көлемді дыбыс|adjective|
suspend|кідірту|verb|automatic suspend
switch|ауыстырғыш|noun|toggle switch or input switch
symbolic|символдық|adjective|symbolic link
symbol|таңба|noun|
synchronization|синхрондау|noun|
syntax|синтаксис|noun|
system|жүйе|noun|file system or operating system
tablet|планшет|noun|graphics tablet
table|кесте|noun|
tab|бет|noun|browser tab
target|мақсат|noun|
teletext|телемәтін|noun|
template|үлгі|noun|create from template
temporal|уақыттық|adjective|temporal interpolation or integration
terrain|жер бедері|noun|terrain analysis or terrain model
test|сынақ|noun|test profile or test page
text|мәтін|noun|
theme|тема|noun|
thread|ағын|noun|
threshold|шек|noun|
thumbnail|нобай|noun|file thumbnail
tileset|тайлдар жиыны|noun|tile set
tile|тайл|noun|
timeout|күту уақыты|noun|
time|уақыт|noun|date and time display
title|атау|noun|media
today|бүгін|adverb|date label Today
toolbox|саймандар жинағы|noun|processing toolbox
tool|сайман|noun|
total|жалпы саны|noun|total item count
touchpad|тачпад|noun|touchpad device
tracker|трекер|noun|
track|трек|noun|
transfer|тасымалдау|noun|file transfer
transformation|трансформация|noun|2D/3D or tasselled cap transformation
transformed|түрлендірілген|adjective|transformed geometry or layer
transform|түрлендіру|verb|transform, FFT, or reprojection operation
transparency|мөлдірлік|noun|
transparent|мөлдір|adjective|transparent background or color
trashed|қоқысқа тасталған|adjective|trashed item
trash|қоқыс шелегі|noun|
tree|ағаш|noun|tree view
trim|қию|verb|trim geometry or text
troubleshooting|мәселелерді шешу|noun|
true|ақиқат|boolean|boolean true value
truncated|қысқартылған|adjective|truncated value or text
tuner|тюнер|noun|
type|түр|noun|
typing|теру|noun|typing preferences
unavailable|қолжетімсіз|adjective|unavailable state
undo|болдырмау|verb|
uninstall|өшіру|verb|
unique|бірегей|adjective|unique field or unique values
unit|юнит|noun|
unknown|белгісіз|adjective|
unlock|құлпын ашу|verb|
unlock|құлыптан шығару|verb|unlock
unmount|тіркеуден шығару|verb|unmount drive or location
unmute|дыбысты іске қосу|verb|
unset|орнатылмаған|adjective|unset value or idle time
unstarred|таңдаулы емес|adjective|not starred status
unstar|таңдаулыдан шығару|verb|remove favorite mark
updated|жаңартылған|adjective|updated column or result
update|жаңарту|verb|
upgradeable|жаңғыртуға болатын|adjective|upgradeable installation or component
upgrade|жаңғырту|verb|
upload|жүктеп салу|verb|
usage|пайдалану|noun|energy or data usage
username|пайдаланушы аты|noun|
user|пайдаланушы|noun|
