about|туралы|preposition|осы туралы if in help - about
disabled|сөндірілген|adjective|
disc|диск|noun|
distance|қашықтық|noun|
document|құжат|noun|
donate|демеушілік ету|verb|
down|төмен|adverb|
download|жүктеп алу|verb|
dummy|бос|adjective|
dump|дамп|noun|
duration|ұзақтық|noun|
edge|жиек|noun|border or side
edge|қабырға|noun|graph or mesh
edit|түзету|verb|
effect|эффект|noun|
emboss|барельеф|verb|
enable|іске қосу|verb|
enabled|іске қосылған|adjective|
encoder|кодтаушы|noun|
encoding|кодтау|noun|
encrypted|шифрленген|adjective|
encryption|шифрлеу|noun|
endnote|соңдық нұсқама|noun|
enter|енгізу|verb|
error|қате|noun|
export|экспорттау|verb|
expression|өрнек|noun|
extension|кеңейту|noun|
extent|қамту аймағы|noun|
factor|коэффициент|noun|
failed|сәтсіз аяқталды|adjective|
fast|жылдам|adjective|
feature|мүмкіндік|noun|
field|өріс|noun|
file|файл|noun|
filename|файл атауы|noun|
filter|сүзгілеу|verb|
filter|сүзгі|noun|
folder|бума|noun|
font|қаріп|noun|
footer|төменгі колонтитул|noun|
footnote|нұсқама|noun|
force|мәжбүрлеу|verb|
form|форма|noun|
format|пішім|noun|
forward|алға|adverb|
frame|кадр|noun|
frequency|жиілік|noun|
fullscreen|толық экран|adjective|
function|функция|noun|
fuzzy|дәлсіз|adjective|
gain|күшейту|noun|
general|жалпы|adjective|
geometry|геометрия|noun|
global|глобалды|adjective|
grid|тор|noun|
group|топ|noun|
header|тақырыптама|noun|network requests
header|жоғарғы колонтитул|noun|
height|биіктігі|noun|
help|көмек|noun|
high|жоғары|adjective|
highlight|түспен ерекшелеу|verb|
history|тарих|noun|
horizontal|горизонталды|adjective|
host|хост|noun|
hotkey|жедел перне|noun|
however|алайда|conjunction|
icon|таңбаша|noun|
image|бейне|noun|disk image
image|сурет|noun|
increase|арттыру|verb|
index|индекс|noun|database
index|нұсқағыш|noun|
indexed|индекстелген|adjective|
input|кіріс|noun|
insert|кірістіру|verb|
install|орнату|verb|
interface|интерфейс|noun|
key|перне|noun|keyboard
key|кілт|noun|object or lock
keyboard|пернетақта|noun|
keyring|кілттер бауы|noun|
label|жапсырма|noun|
language|тіл|noun|
layer|қабат|noun|
layout|жайма|noun|
legend|аңыз|noun|
library|кітапхана|noun|
line|сызық|noun|
list|тізім|noun|
local|жергілікті|adjective|
lock|құлыптау|verb|
logo|логотип|noun|
loop|цикл|noun|
mapping|сәйкестендіру|noun|
mask|маска|noun|
matrix|матрица|noun|
mean|орташа мән|noun|
media|медиа|noun|
medium|орташа|adjective|
menu|мәзір|noun|
mesh|жүйесіз тор|noun|
message|хабарлама|noun|
metadata|метадеректер|noun|
mode|режим|noun|
modifier|модификатор|noun|
monospace|ені біркелкі|adjective|
mosaic|мозаика|noun|
motion|қозғалыс|noun|
mouse|тышқан|noun|
mute|дыбысты сөндіру|verb|
muxer|мультиплексор|noun|
name|ат|noun|
network|желі|noun|
node|түйін|noun|
noise|шу|noun|
normal|қалыпты|adjective|
number|сан|noun|
object|объект|noun|
offset|ығысу|noun|
opacity|мөлдір еместік|noun|
open|ашу|verb|
option|опция|noun|
output|шығыс|noun|
overlay|қабаттастыру|noun|
package|десте|noun|
packetizer|пакеттеуші|noun|
paragraph|абзац|noun|
parameter|параметр|noun|
parent|ата-ана|noun|
parse|талдау|verb|
passphrase|кілттік фраза|noun|
password|пароль|noun|
paste|кірістіру|verb|
path|жол|noun|
pause|аялдату|verb|
picture|сурет|noun|
pitch|дыбыс биіктігі|noun|audio
play|ойнату|verb|
playback|ойнату|noun|
player|плеер|noun|
playlist|ойнату тізімі|noun|
plug-in|плагин|noun|
plugin|плагин|noun|
podcast|подкаст|noun|
point|нүкте|noun|
pointer|курсор|noun|
polygon|полигон|noun|
port|порт|noun|
position|орын|noun|
preferences|баптаулар|noun|
preset|пресет|noun|
privacy|жекелік|noun|
process|өңдеу|verb|
profile|профиль|noun|
program|бағдарлама|noun|
project|жоба|noun|
protocol|хаттама|noun|
quality|сапа|noun|
random|кездейсоқ|adjective|
range|ауқым|noun|
raster|растр|noun|
ratio|арақатынас|noun|
record|жазба|noun|
record|жазу|verb|
redo|қайталау|verb|
regular expression|тұрақты өрнек|noun|
remove|өшіру|verb|
rename|атын өзгерту|verb|
renderer|рендерер|noun|
repeat|қайталау|verb|
reset|бастапқы күйге келтіру|verb|
resize|өлшемін өзгерту|verb|
resolution|ажыратымдылық|noun|
result|нәтиже|noun|
root|әкімші|noun|user
root|түбір|noun|
save|сақтау|verb|
save as|қалайша сақтау|verb phrase|
scale|масштабтау|verb|
screen|экран|noun|
screenshot|скриншот|noun|
search|іздеу|verb|
select|таңдау|verb|
separate|бөлек|adjective|
separator|ажыратқыш|noun|
service|қызмет|noun|
session|сеанс|noun|
shading|көлеңкелеу|noun|
shell|қоршам|noun|
shortcut|жарлық|noun|
skip|аттап кету|verb|
slide show|слайдшоу|noun|
snapshot|снапшот|noun|
software|бағдарламалық қамтама|noun|
speed|жылдамдық|noun|
standard|стандартты|adjective|
start|бастау|verb|
stats|статистика|noun|
stereo|стерео|adjective|
stop|тоқтату|verb|
stopwatch|секунд өлшегіші|noun|
stream|ағын|noun|
stretch|созу|verb|
string|жол|noun|data type
style|стиль|noun|
subpicture|ішкі сурет|noun|
subtitle|субтитр|noun|
surround|көлемді дыбыс|adjective|
symbol|таңба|noun|
synchronization|синхрондау|noun|
syntax|синтаксис|noun|
tab|бет|noun|browser tab
table|кесте|noun|
target|мақсат|noun|
teletext|телемәтін|noun|
text|мәтін|noun|
theme|тема|noun|
thread|ағын|noun|
threshold|шек|noun|
tile|тайл|noun|
timeout|күту уақыты|noun|
title|атау|noun|media
tool|сайман|noun|
track|трек|noun|
tracker|трекер|noun|
transparency|мөлдірлік|noun|
trash|қоқыс шелегі|noun|
troubleshooting|мәселелерді шешу|noun|
tuner|тюнер|noun|
type|түр|noun|
undo|болдырмау|verb|
uninstall|өшіру|verb|
unit|юнит|noun|
unknown|белгісіз|adjective|
unlock|құлпын ашу|verb|
unmute|дыбысты іске қосу|verb|
update|жаңарту|verb|
upgrade|жаңғырту|verb|
upload|жүктеп салу|verb|
user|пайдаланушы|noun|
username|пайдаланушы аты|noun|
value|мән|noun|
vector|вектор|noun|
version|нұсқа|noun|
vertex|төбе|noun|
vertical|вертикалды|adjective|
video|видео|noun|
volume|дыбыс деңгейі|noun|
warning|ескерту|noun|
white|ақ|adjective|
width|ені|noun|
window|терезе|noun|
zoom|масштаб|noun|
